epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0455,1.03334,4.91375,0.01366,0.00807,1,0.02542,0.01712,0.84732,3.70426,0.01044,0.00017148,0.00017148,0.00017148
2,18.2703,0.88031,3.77529,0.01095,0.00821,1,0.25088,0.12203,0.89512,3.76762,0.01097,0.000354892,0.000354892,0.000354892
3,20.1394,0.93716,2.84961,0.01198,0.00829,1,0.79493,0.55345,0.9885,2.77879,0.01275,0.000535852,0.000535852,0.000535852
4,21.9567,0.86038,2.74378,0.01061,0.00828,1,0.84787,0.60999,0.85926,2.55814,0.01063,0.00071436,0.00071436,0.00071436
5,23.8476,0.93107,2.27822,0.01073,0.98207,0.42105,0.80663,0.6009,0.88497,2.44745,0.01155,0.000890416,0.000890416,0.000890416
6,25.6667,0.9178,2.36302,0.01189,1,0.4382,0.9026,0.59251,1.09042,2.25673,0.01464,0.00106402,0.00106402,0.00106402
7,27.412,0.92787,2.01305,0.01106,1,0.70301,0.94678,0.7032,0.92182,1.94815,0.01162,0.00123517,0.00123517,0.00123517
8,29.1873,1.06029,1.95507,0.01285,0.7816,0.75406,0.90559,0.65053,0.93129,1.57692,0.01275,0.00136298,0.00136298,0.00136298
9,30.9238,1.08304,1.92239,0.01312,1,0.79044,0.9527,0.6275,1.3112,1.44659,0.01958,0.00135355,0.00135355,0.00135355
10,32.7805,1.09656,1.96305,0.0132,0.93953,0.81854,0.93915,0.68789,1.00035,1.58838,0.01374,0.00134412,0.00134412,0.00134412
11,34.5092,0.95766,1.65458,0.01135,0.76113,0.83869,0.86921,0.67178,0.82332,1.15467,0.01053,0.00133469,0.00133469,0.00133469
12,36.3027,0.81301,1.66979,0.01028,0.99928,1,0.995,0.78397,0.87455,0.56355,0.01178,0.00132525,0.00132525,0.00132525
13,38.0631,0.85154,1.33116,0.00991,0.98569,0.89474,0.98136,0.77652,0.76107,0.5299,0.00973,0.00131582,0.00131582,0.00131582
14,39.8312,0.92409,1.39362,0.01144,0.98707,0.84211,0.96359,0.75362,0.82659,0.59001,0.01076,0.00130639,0.00130639,0.00130639
15,41.7069,0.98738,1.30075,0.0116,0.84803,0.84211,0.95267,0.71384,0.89587,0.54094,0.01113,0.00129696,0.00129696,0.00129696
16,43.5215,0.83431,1.1883,0.00991,1,0.96121,0.995,0.75449,0.96376,0.38866,0.01317,0.00128753,0.00128753,0.00128753
17,45.252,0.90981,1.15377,0.01109,1,0.88634,0.97916,0.80422,0.74686,0.3904,0.0098,0.0012781,0.0012781,0.0012781
18,47.008,0.94013,1.08158,0.01171,1,0.89322,0.978,0.73363,1.10447,0.45604,0.01634,0.00126867,0.00126867,0.00126867
19,48.7351,0.84507,1.1415,0.01078,0.94879,0.97589,0.99,0.84221,0.70574,0.36644,0.00902,0.00125923,0.00125923,0.00125923
20,50.5131,0.78048,1.06166,0.00976,1,0.99317,0.995,0.85292,0.66963,0.28425,0.00821,0.0012498,0.0012498,0.0012498
21,52.3808,0.81911,0.95551,0.01014,0.99203,0.94737,0.9925,0.78622,0.86999,0.38645,0.01144,0.00124037,0.00124037,0.00124037
22,54.1567,0.81556,0.91184,0.00971,1,0.98451,0.995,0.796,0.81887,0.3304,0.01045,0.00123094,0.00123094,0.00123094
23,55.9106,0.82289,0.85249,0.00998,0.97164,1,0.995,0.75405,0.97625,0.3589,0.01429,0.00122151,0.00122151,0.00122151
24,57.7012,0.7939,0.83478,0.01024,0.98485,0.94737,0.9863,0.7608,0.89619,0.44011,0.01162,0.00121208,0.00121208,0.00121208
25,59.4804,0.84706,0.90356,0.01063,0.89353,0.94737,0.9804,0.81594,0.66427,0.4083,0.00804,0.00120265,0.00120265,0.00120265
26,61.2882,0.80891,0.76861,0.00996,0.89911,0.93851,0.96246,0.74463,0.8835,0.48944,0.01147,0.00119322,0.00119322,0.00119322
27,63.0206,0.78923,0.77938,0.00962,0.97918,0.94737,0.97893,0.84057,0.57869,0.3563,0.00687,0.00118378,0.00118378,0.00118378
28,64.7966,0.79022,0.77399,0.01094,0.85638,0.94173,0.97202,0.80801,0.71461,0.46428,0.00939,0.00117435,0.00117435,0.00117435
29,66.5342,0.83217,0.7275,0.00951,0.97914,0.89474,0.9813,0.78602,0.7688,0.42503,0.00989,0.00116492,0.00116492,0.00116492
30,68.2927,0.82764,0.68308,0.01007,1,0.94349,0.98458,0.79902,0.70547,0.3598,0.00899,0.00115549,0.00115549,0.00115549
31,70.1235,0.84259,0.66543,0.01099,0.98644,0.94737,0.9925,0.70211,1.12863,0.41151,0.0163,0.00114606,0.00114606,0.00114606
32,71.9394,0.81608,0.61875,0.01075,1,0.94184,0.9863,0.72906,0.95851,0.42022,0.01281,0.00113663,0.00113663,0.00113663
33,73.6935,0.76113,0.6493,0.00939,0.99257,0.94737,0.9925,0.73591,0.99595,0.37447,0.01302,0.0011272,0.0011272,0.0011272
34,75.4398,0.7715,0.59355,0.00871,0.90331,0.9839,0.98548,0.66846,1.27817,0.46024,0.01671,0.00111776,0.00111776,0.00111776
35,77.1668,0.75969,0.57363,0.00928,0.89956,0.94292,0.97458,0.69602,1.1267,0.45678,0.01437,0.00110833,0.00110833,0.00110833
36,79.0632,0.69244,0.52686,0.00777,0.90461,1,0.9827,0.78253,0.80053,0.38251,0.00988,0.0010989,0.0010989,0.0010989
37,80.8235,0.79498,0.64164,0.00961,0.86146,0.98237,0.96353,0.63943,1.26928,0.50634,0.01698,0.00108947,0.00108947,0.00108947
